timestamp calibVersion serialNumber ASIC_ID channel MDACCorrectionCode0_RAW MDACCorrectionCode1_RAW MDACCorrectionCode2_RAW MDACCorrectionCode3_RAW MDACCorrectionCode4_RAW MDACCorrectionCode5_RAW MDACCorrectionCode6_RAW MDACCorrectionCode7_RAW W_2ND_16_RAW W_2ND_24_RAW W_2ND_32_RAW W_2ND_64_RAW W_2ND_128_RAW W_2ND_224_RAW W_1ST_128_RAW W_1ST_256_RAW W_1ST_384_RAW W_1ST_640_RAW W_1ST_1024_RAW W_1ST_2048_RAW W_1ST_3584_RAW W_2ND_10_RAW W_2ND_6_RAW W_2ND_4_RAW W_2ND_2_RAW W_2ND_1_RAW W_2ND_0p5_RAW W_2ND_0p25_RAW MDACCorrectionCode0_DDPU MDACCorrectionCode1_DDPU MDACCorrectionCode2_DDPU MDACCorrectionCode3_DDPU MDACCorrectionCode4_DDPU MDACCorrectionCode5_DDPU MDACCorrectionCode6_DDPU MDACCorrectionCode7_DDPU SARCorrectionCode6 SARCorrectionCode7 SARCorrectionCode8 SARCorrectionCode9 SARCorrectionCode10 SARCorrectionCode11 SARCorrectionCode12 SARCorrectionCode13 SARCorrectionCode14 SARCorrectionCode15 SARCorrectionCode16 SARCorrectionCode17 SARCorrectionCode18 SARCorrectionCode19 SARCorrectionCode20
"3/9/2022 20:21:23" 2 169153 0 3 299.82831250000004 4397.0419375 4397.850375 4397.41175 4399.0346875000005 4396.9106875 4396.570875 4394.790875 15.5874375 22.6889375 29.89736 59.65456249999999 119.10475124999999 207.91542999999996 120.16143749999995 241.29940624999992 361.15556249999986 601.9255312499997 962.1511249999996 1921.9217499999993 3364.144593749999 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1199 18787 36379 53969 71565 89152 106739 124318 25 41 64 94 124 247 492 859 497 997 1493 2488 3977 7944 13906
"3/9/2022 20:26:36" 2 169153 0 4 253.84412500000008 4351.541625 4350.7813750000005 4350.2956875 4351.0514375 4348.4014375 4349.4491875 4347.4400625 15.73078125 23.37022 30.85778125000001 60.8829375 122.07340625 212.50096874999997 121.67403125000001 244.33318750000004 365.80318750000004 609.8050937500001 974.9390312500002 1947.9505937500003 3410.040593750001 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1015 18422 35825 53226 70630 88024 105421 122811 24 41 64 95 126 248 498 867 496 996 1492 2487 3976 7944 13906
"3/9/2022 20:30:17" 2 169153 0 5 262.09287500000005 4359.293625 4358.232437500001 4357.568875 4359.4736250000005 4356.8914375 4357.814 4355.617375 12.997343749999999 23.706281250000007 26.833437499999995 53.21053124999999 106.73831250000002 186.04178124999999 88.15209374999999 176.90375 265.165375 441.36103125 705.5200624999999 1409.7210624999998 2467.8223562499998 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1048 18486 35918 53349 70787 88214 105645 123068 34 56 73 134 151 300 601 1048 497 997 1494 2487 3976 7944 13906
"3/9/2022 20:33:59" 2 169153 0 6 251.21993750000001 4349.04025 4348.0124375 4345.162625000001 4347.3803124999995 4344.1135 4344.80075 4343.314062500001 15.796156250000001 23.28396875 31.29252124999999 62.08368749999998 124.46162749999996 216.87059000000005 126.37965625000001 253.42415625 379.71850000000006 632.4648125 1011.67046875 2021.1214375 3537.281 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1005 18401 35793 53174 70563 87940 105319 122692 24 39 62 92 123 244 489 853 497 996 1493 2486 3977 7946 13906
"3/9/2022 20:42:16" 2 169153 0 7 248.2058750000001 4347.514375 4347.3129375 4347.555937499999 4348.696875 4347.1968125 4347.035250000001 4344.720375000001 15.287937499999998 23.824375 31.227848750000007 61.87521875 124.23512499999998 216.70671875 123.31640625000006 247.1885937500001 370.3509062500002 617.0985625000003 986.7568125000005 1972.038500000001 3450.2441875000013 10.0 6.0 4.0 2.0 1.0 0.5 0.25 993 18383 35772 53162 70557 87946 105334 122713 24 40 62 96 126 249 501 873 497 996 1493 2487 3977 7948 13906
"3/9/2022 20:46:6" 2 169153 0 8 226.6456874999999 4324.067875 4321.7418124999995 4321.8250625 4324.834999999999 4322.65575 4322.33525 4320.5304375000005 15.75646875 23.752044999999995 31.53609375 62.198625 124.71934374999998 216.963625 123.69756250000006 248.3405937500001 372.3577500000002 620.4035937500003 991.2107187500005 1982.524031250001 3469.1375312500013 10.0 6.0 4.0 2.0 1.0 0.5 0.25 907 18203 35490 52777 70076 87367 104656 121939 24 40 63 95 126 249 500 870 496 995 1493 2487 3973 7947 13906
"3/9/2022 20:49:49" 3 169153 0 1 242.03200000000015 4339.488125 4338.8645 4339.112625 4340.635937499999 4338.7368750000005 4338.5965 4335.8772500000005 16.08015625 23.769343750000004 31.65559375 63.067908750000015 126.38671875000003 220.43140875 127.57562874999999 256.00159874999997 383.66354 639.1941 1021.76682375 2042.0850725 3574.8863012499996 10.0 6.0 4.0 2.0 1.0 0.5 0.25 968 18326 35682 53038 70401 87755 105110 122453 23 39 63 92 123 245 492 857 496 996 1492 2486 3975 7943 13906
"3/9/2022 20:57:33" 3 169153 0 2 270.59456250000017 4367.0263125 4368.553562499999 4367.749937500001 4370.1460625 4367.791875000001 4367.38425 4364.268375000001 16.096843749999998 24.013062499999993 32.07796875 63.705249999999985 127.77474999999998 222.46465624999996 130.19152000000003 261.41029000000003 391.40745625000005 651.9439762500001 1042.5938312500002 2082.7347587500003 3645.9888100000007 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1082 18550 36025 53496 70976 88447 105917 123374 23 38 61 92 122 243 487 848 497 997 1493 2487 3976 7944 13906
"3/9/2022 21:1:19" 3 169153 0 3 300.1528125 4396.326875000001 4397.99275 4397.783125 4399.20575 4397.2045 4396.6295625 4393.99675 15.6905625 23.007218750000003 30.421566249999998 60.478875000000016 120.74846000000002 210.52508124999997 120.7717187500001 242.6015937500002 363.2050937500003 605.2616875000004 967.6606562500008 1933.0097187500014 3383.5542187500027 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1201 18786 36378 53969 71566 89155 106741 124317 25 41 64 95 125 249 496 865 496 997 1493 2488 3977 7944 13906
"3/9/2022 21:5:27" 3 169153 0 4 253.76012500000002 4351.7348125 4351.0899375 4350.5668749999995 4350.404625 4348.9195 4350.0199999999995 4346.83275 15.760562500000002 23.546822499999998 31.057562499999996 61.4399375 123.26396875 214.980625 124.24996875000001 248.983875 372.92009375000004 621.339375 993.5043750000001 1985.2226562500002 3475.3290625 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1015 18422 35826 53229 70630 88026 105426 122813 24 40 63 94 124 246 493 860 497 996 1492 2486 3975 7944 13906
